osm_id,code,fclass,name,LAT,LONG
1576973954,5601,railway_station,Chikkabidarakallu,"077° 29' 16.5""""  ","13° 03' 8.5"""" "
1576973980,5601,railway_station,Manjunathanagara,"077° 29' 40.01""""  ","13° 03' 0.32"""" "
1596062941,5601,railway_station,Humanabad,"077° 08' 21.73""""  ","17° 46' 17.43"""" "
1600080681,5601,railway_station,Balganur,"075° 36' 9.97""""  ","15° 35' 40.93"""" "
1604664691,5601,railway_station,Banni Koppa,"075° 56' 30.31""""  ","15° 24' 23.39"""" "
1636610854,5601,railway_station,Tiptur,"076° 28' 32.28""""  ","13° 15' 20.73"""" "
1670052496,5601,railway_station,Gudageri,"075° 21' 34.39""""  ","15° 07' 28.55"""" "
1672987435,5601,railway_station,Sakleshpur,"075° 46' 44.22""""  ","12° 56' 43.36"""" "
1676721983,5601,railway_station,Ganagapur Road,"076° 35' 22.21""""  ","17° 20' 26.68"""" "
1678218711,5601,railway_station,Asnoti,"074° 08' 51.34""""  ","14° 52' 34.65"""" "
1682747882,5601,railway_station,Indi Road,"075° 55' 7.93""""  ","17° 12' 39.06"""" "
1688119769,5601,railway_station,Castle Rock,"074° 20' 2.01""""  ","15° 23' 55.51"""" "
1688172817,5601,railway_station,Mayakonda,"076° 05' 13.25""""  ","14° 16' 40.74"""" "
1692785682,5601,railway_station,Surathkal,"074° 48' 19.49""""  ","12° 59' 24.53"""" "
1696139855,5601,railway_station,Krishnaraja Nagar,"076° 23' 18.31""""  ","12° 26' 41.97"""" "
1699868072,5601,railway_station,Bisale Halli,"075° 58' 1.37""""  ","13° 28' 53.14"""" "
1715653825,5601,railway_station,Hole Alur,"075° 38' 48.29""""  ","15° 49' 12.97"""" "
1716178626,5601,railway_station,Kundapura,"074° 43' 43.27""""  ","13° 36' 48.15"""" "
1722769520,5601,railway_station,Coromandel,"078° 15' 28.1""""  ","12° 58' 32.36"""" "
1722803892,5601,railway_station,Yediyur,"076° 51' 49.9""""  ","12° 58' 44.4"""" "
1783231964,5601,railway_station,Hole Narsipur,"076° 14' 47.88""""  ","12° 47' 7.31"""" "
1801510237,5601,railway_station,Banasandra,"076° 39' 38.18""""  ","13° 15' 55.99"""" "
1801510305,5601,railway_station,Ammasandra,"076° 42' 43.44""""  ","13° 15' 53.78"""" "
1814580873,5601,railway_station,Kardi,"076° 34' 20.32""""  ","13° 16' 1.89"""" "
1814581414,5601,railway_station,Banashankari,"076° 31' 28.75""""  ","13° 15' 59.91"""" "
1818646444,5601,railway_station,Sampige Road,"076° 45' 44.17""""  ","13° 16' 15.47"""" "
1818651789,5601,railway_station,Nittur,"076° 51' 21.43""""  ","13° 18' 9.53"""" "
1844248845,5601,railway_station,Oorgaum,"078° 15' 35.94""""  ","12° 57' 15.42"""" "
1852780582,5601,railway_station,Desur,"074° 29' 54.83""""  ","15° 45' 10.27"""" "
1861233135,5601,railway_station,Channapatna,"077° 12' 14.02""""  ","12° 39' 33.74"""" "
1888282487,5601,railway_station,Murdeshwar,"074° 30' 19.52""""  ","14° 06' 2.95"""" "
1923477242,5601,railway_station,Birur Junction,"075° 58' 22.85""""  ","13° 35' 35.63"""" "
1966508764,5601,railway_station,Masarahalli,"075° 43' 50.08""""  ","13° 48' 38.11"""" "
1967082966,5601,railway_station,Donigal,"075° 44' 5.31""""  ","12° 54' 16.34"""" "
1976851798,5601,railway_station,Honnavalli Road,"076° 22' 5.91""""  ","13° 16' 31.41"""" "
1984385300,5601,railway_station,Neralakatte,"075° 07' 38.12""""  ","12° 49' 0.33"""" "
2034603706,5601,railway_station,Nelamangala,"077° 23' 33.01""""  ","13° 06' 43.87"""" "
2101360284,5601,railway_station,Yermaras,"077° 20' 50.12""""  ","16° 16' 21.7"""" "
2122590354,5601,railway_station,Sakharayapatna,"075° 55' 40.27""""  ","13° 25' 47.86"""" "
2129092124,5601,railway_station,Harapanahalli,"075° 59' 6.89""""  ","14° 46' 25.56"""" "
2140205532,5601,railway_station,Bidadi,"077° 23' 24.62""""  ","12° 48' 2.24"""" "
2266574834,5601,railway_station,Aralaguppe,"076° 36' 48.41""""  ","13° 15' 11.61"""" "
2269517698,5601,railway_station,Banavar,"076° 08' 25.73""""  ","13° 23' 44.97"""" "
2418722563,5601,railway_station,Anandapuram,"075° 12' 35.48""""  ","14° 04' 29.08"""" "
2428405498,5601,railway_station,Ghataprabha,"074° 45' 35.75""""  ","16° 14' 27.54"""" "
2454214993,5601,railway_station,Nandikoor,"074° 48' 21.76""""  ","13° 07' 57.5"""" "
2486823395,5601,railway_station,Malur,"077° 56' 19.45""""  ","12° 59' 34.27"""" "
2528520392,5601,railway_station,Hirenanduru,"076° 52' 19.71""""  ","17° 15' 29.45"""" "
2548066537,5601,railway_station,Ankola,"074° 19' 54.93""""  ","14° 38' 43.29"""" "
2548066547,5601,railway_station,Barkur,"074° 45' 35.53""""  ","13° 28' 37.3"""" "
2548066552,5601,railway_station,Bijoor,"074° 38' 33.43""""  ","13° 49' 19.22"""" "
2548066555,5601,railway_station,Harwada,"074° 15' 33.83""""  ","14° 44' 25.4"""" "
2548066556,5601,railway_station,Manki,"074° 29' 37.24""""  ","14° 10' 28.72"""" "
2548066558,5601,railway_station,Senapura,"074° 41' 4.1""""  ","13° 43' 4.35"""" "
2554438211,5601,railway_station,Haveri,"075° 24' 40.12""""  ","14° 47' 41.11"""" "
2559416716,5601,railway_station,Hunasenahalli,"077° 56' 48.17""""  ","13° 24' 1.18"""" "
2559419936,5601,railway_station,Chintamani,"078° 03' 14.38""""  ","13° 24' 39.56"""" "
2591684348,5601,railway_station,Thokur,"074° 49' 46.35""""  ","12° 57' 48.32"""" "
2629037602,5601,railway_station,Hanakere,"076° 58' 51.68""""  ","12° 33' 56.12"""" "
2669084978,5601,railway_station,Krantivira Sangolli Rayanna (Bengaluru),"077° 34' 10.42""""  ","12° 58' 41.43"""" "
2669084989,5601,railway_station,Hubballi Junction,"075° 08' 57.22""""  ","15° 21' 0.44"""" "
2671295574,5601,railway_station,Mangaluru Central,"074° 50' 35.66""""  ","12° 51' 48.25"""" "
2671295575,5601,railway_station,Mysore Junction,"076° 38' 42.42""""  ","12° 18' 56.66"""" "
2850694071,5601,railway_station,Bageshapura,"076° 13' 45.61""""  ","13° 08' 35.6"""" "
2958815992,5601,railway_station,Lingeri,"077° 11' 23.02""""  ","16° 40' 7.55"""" "
2958863878,5601,railway_station,Saidapur,"077° 15' 0.01""""  ","16° 34' 14.83"""" "
2967308931,5601,railway_station,Yesvantpur Junction,"077° 33' 2.77""""  ","13° 01' 25.58"""" "
2967312447,5601,railway_station,Hebbal,"077° 35' 10.5""""  ","13° 02' 33.17"""" "
2970003323,5601,railway_station,Chiksugur,"077° 20' 41.44""""  ","16° 20' 9.34"""" "
2970003324,5601,railway_station,Yadalapur,"077° 19' 38.84""""  ","16° 23' 5.7"""" "
2973023222,5601,railway_station,Matmari,"077° 18' 8.92""""  ","16° 02' 47.4"""" "
2973023223,5601,railway_station,Marichethal,"077° 18' 33.98""""  ","16° 06' 35.59"""" "
3057101107,5601,railway_station,Thangundi,"077° 04' 4.62""""  ","16° 48' 12.24"""" "
3074998903,5601,railway_station,Kodaganuru,"076° 02' 0.97""""  ","14° 19' 49.31"""" "
3075002340,5601,railway_station,Sasalu,"076° 06' 54.07""""  ","14° 12' 39.99"""" "
3165126694,5601,railway_station,Tunga Bhadra Dam,"076° 21' 15.07""""  ","15° 15' 46.88"""" "
3191826727,5601,railway_station,Sivapur,"075° 55' 42.06""""  ","13° 40' 13.68"""" "
3191826728,5601,railway_station,Tarikere Junction,"075° 48' 42.69""""  ","13° 42' 43.0"""" "
3198271987,5601,railway_station,Amaravathi Colony Junction,"075° 51' 7.65""""  ","14° 29' 56.33"""" "
3220285971,5601,railway_station,Shantigrama,"076° 12' 19.66""""  ","12° 59' 4.62"""" "
3470837085,5601,railway_station,Shravanabelagola,"076° 27' 56.41""""  ","12° 52' 17.02"""" "
3470859796,5601,railway_station,Hassan Junction,"076° 07' 2.59""""  ","13° 00' 12.19"""" "
3500758393,5601,railway_station,Mandya,"076° 53' 48.12""""  ","12° 31' 43.98"""" "
3751576373,5601,railway_station,Muddalinganahalli,"077° 17' 39.95""""  ","13° 14' 34.29"""" "
3753356903,5601,railway_station,Habhanghatta,"076° 14' 59.96""""  ","13° 13' 37.24"""" "
3879960394,5601,railway_station,Mugad,"074° 54' 17.77""""  ","15° 26' 51.6"""" "
4011081968,5601,railway_station,Ginigera,"076° 14' 51.28""""  ","15° 20' 52.73"""" "
4028153528,5601,railway_station,Bannihatti,"076° 37' 20.5""""  ","15° 08' 40.08"""" "
4028158801,5601,railway_station,Papinayaknahalli,"076° 29' 26.82""""  ","15° 14' 8.45"""" "
4029017821,5601,railway_station,Tinai Ghat,"074° 24' 8.68""""  ","15° 26' 55.2"""" "
4108417932,5601,railway_station,Malleswaram,"077° 33' 48.51""""  ","13° 00' 2.27"""" "
4133754822,5601,railway_station,Marikuppam,"078° 15' 49.46""""  ","12° 55' 7.66"""" "
4142582908,5601,railway_station,Srinivasapura,"078° 12' 24.15""""  ","13° 19' 43.8"""" "
4313065921,5601,railway_station,Chittapura,"077° 05' 25.92""""  ","17° 07' 11.43"""" "
4314660390,5601,railway_station,Ballari Cantonment,"076° 53' 0.64""""  ","15° 09' 29.71"""" "
4316145885,5601,railway_station,Yeliyur,"076° 49' 43.18""""  ","12° 30' 35.62"""" "
4340278527,5601,railway_station,Kulali,"076° 28' 13.7""""  ","17° 21' 26.04"""" "
4397913105,5601,railway_station,Bennihalli,"076° 07' 8.49""""  ","14° 47' 15.36"""" "
4411002319,5601,railway_station,Kalaburagi Junction,"076° 49' 32.28""""  ","17° 18' 53.74"""" "
4450926674,5601,railway_station,Mallapur,"075° 36' 38.66""""  ","15° 40' 21.22"""" "
4569877375,5601,railway_station,Ullal,"074° 51' 17.59""""  ","12° 47' 32.52"""" "
4597665378,5601,railway_station,Holalkere,"076° 07' 51.26""""  ","14° 02' 24.73"""" "
4597673369,5601,railway_station,Ramagiri,"076° 07' 31.77""""  ","13° 56' 53.79"""" "
4597679145,5601,railway_station,Hosadurga Road,"076° 07' 59.23""""  ","13° 51' 45.52"""" "
4597684205,5601,railway_station,Shivani,"076° 03' 31.33""""  ","13° 48' 42.26"""" "
4597685294,5601,railway_station,Ajjampura,"076° 00' 37.07""""  ","13° 43' 51.88"""" "
4597696823,5601,railway_station,Nagavangala,"075° 59' 29.73""""  ","13° 39' 52.51"""" "
4597939355,5601,railway_station,Amritapura,"076° 14' 37.99""""  ","14° 08' 21.33"""" "
4615639310,5601,railway_station,Balenahalli,"076° 33' 16.56""""  ","14° 14' 40.1"""" "
4615790622,5601,railway_station,Bommagundanakere,"076° 40' 49.21""""  ","14° 35' 16.1"""" "
4705536596,5601,railway_station,Bhalki,"077° 13' 41.3""""  ","18° 02' 49.45"""" "
4757898320,5601,railway_station,Solur,"077° 15' 31.22""""  ","13° 04' 11.29"""" "
4761087279,5601,railway_station,Wadi Junction,"076° 59' 30.82""""  ","17° 03' 8.26"""" "
4838807292,5601,railway_station,Adihalli,"076° 19' 33.59""""  ","13° 17' 46.01"""" "
4855254016,5601,railway_station,Alur,"076° 00' 1.46""""  ","12° 58' 54.23"""" "
4914851718,5601,railway_station,Lakhmapur,"075° 37' 37.97""""  ","15° 52' 11.59"""" "
5005536730,5601,railway_station,Kunigal,"077° 00' 39.9""""  ","13° 00' 59.92"""" "
5186077698,5601,railway_station,Kamasamudram,"078° 12' 2.03""""  ","12° 52' 49.78"""" "
5239591121,5601,railway_station,Shiroor,"074° 35' 39.29""""  ","13° 55' 51.5"""" "
5277139349,5601,railway_station,Mandagere,"076° 22' 44.43""""  ","12° 43' 46.31"""" "
5303386567,5601,railway_station,Rajanukunte,"077° 33' 56.13""""  ","13° 10' 28.67"""" "
5303386568,5601,railway_station,Oddarahalli,"077° 32' 28.03""""  ","13° 20' 45.81"""" "
5303386569,5601,railway_station,Makalidurga,"077° 30' 35.35""""  ","13° 24' 35.76"""" "
5303386570,5601,railway_station,Someshwara,"077° 30' 45.79""""  ","13° 33' 37.25"""" "
5358242144,5601,railway_station,Pachhapur,"074° 40' 15.36""""  ","16° 04' 49.61"""" "
5358242178,5601,railway_station,Sulebhavi,"074° 38' 16.9""""  ","15° 54' 40.4"""" "
5416750422,5601,railway_station,B.G Nagar,"076° 43' 59.26""""  ","12° 58' 5.84"""" "
5679106393,5601,railway_station,Harlapur,"075° 47' 59.52""""  ","15° 26' 8.01"""" "
5679128581,5601,railway_station,Kyatanakeri Road,"075° 49' 13.92""""  ","17° 03' 8.67"""" "
5704202636,5601,railway_station,Sagarakatte,"076° 28' 42.87""""  ","12° 25' 23.14"""" "
5760183640,5601,railway_station,Tyakal,"078° 04' 16.01""""  ","12° 59' 4.5"""" "
5760183667,5601,railway_station,Bangarpet Junction,"078° 10' 41.61""""  ","12° 59' 7.78"""" "
5760197744,5601,railway_station,Whitefield (Kadugodi),"077° 45' 28.62""""  ","12° 59' 44.67"""" "
5760197745,5601,railway_station,Hopefarm Channasandra,"077° 45' 13.69""""  ","12° 59' 14.43"""" "
5760197749,5601,railway_station,Pattandur Agrahara,"077° 44' 15.98""""  ","12° 59' 15.5"""" "
5760197751,5601,railway_station,Sri Sathya Sai Hospital,"077° 43' 39.13""""  ","12° 58' 52.3"""" "
5760197754,5601,railway_station,Nallurahalli,"077° 43' 29.58""""  ","12° 58' 35.91"""" "
5760197755,5601,railway_station,Kundalahalli,"077° 42' 56.01""""  ","12° 58' 39.34"""" "
5760197757,5601,railway_station,Seetharampalya,"077° 42' 31.63""""  ","12° 58' 51.08"""" "
5760197761,5601,railway_station,Hoodi,"077° 42' 40.77""""  ","12° 59' 19.69"""" "
5760197762,5601,railway_station,Garudacharpalya,"077° 42' 13.24""""  ","12° 59' 36.42"""" "
5760197764,5601,railway_station,Singayyanapalya,"077° 41' 33.78""""  ","12° 59' 47.56"""" "
5760197765,5601,railway_station,Krishnarajapura,"077° 40' 39.61""""  ","12° 59' 59.65"""" "
5760197766,5601,railway_station,Benniganahalli,"077° 40' 6.46""""  ","12° 59' 47.46"""" "
5764377154,5601,railway_station,Virapur,"077° 07' 55.23""""  ","15° 09' 31.92"""" "
5764377157,5601,railway_station,Hagari,"077° 03' 18.94""""  ","15° 09' 3.95"""" "
5764377544,5601,railway_station,Kusugal,"075° 13' 42.62""""  ","15° 22' 19.79"""" "
5764377675,5601,railway_station,Hebsur,"075° 17' 9.3""""  ","15° 25' 23.58"""" "
5764378051,5601,railway_station,Annigeri,"075° 26' 0.74""""  ","15° 25' 56.75"""" "
5960788724,5601,railway_station,Dasarahalli,"077° 30' 45.19""""  ","13° 02' 35.74"""" "
5960788725,5601,railway_station,Jalahalli,"077° 31' 11.05""""  ","13° 02' 21.88"""" "
5960788726,5601,railway_station,Srirampura,"077° 33' 47.51""""  ","12° 59' 47.49"""" "
6050412687,5601,railway_station,Jokatte,"074° 51' 12.84""""  ","12° 57' 34.73"""" "
6064361419,5601,railway_station,Varadapura,"078° 11' 29.2""""  ","12° 55' 20.82"""" "
6065355651,5601,railway_station,Maralahalli,"078° 07' 27.69""""  ","12° 59' 13.02"""" "
6065388673,5601,railway_station,Byatrayanahalli,"078° 01' 2.98""""  ","12° 59' 43.9"""" "
6068833789,5601,railway_station,Chinnakotte,"078° 13' 34.23""""  ","12° 58' 52.42"""" "
6068892361,5601,railway_station,Champion,"078° 15' 46.59""""  ","12° 56' 10.94"""" "
6069958871,5601,railway_station,Viduraswattha,"077° 30' 34.11""""  ","13° 39' 59.59"""" "
6072074301,5601,railway_station,Gottihalli,"078° 08' 33.21""""  ","13° 14' 5.12"""" "
6077103206,5601,railway_station,Nidaghatta,"077° 05' 22.06""""  ","12° 37' 32.74"""" "
6080255489,5601,railway_station,Byadarahalli,"076° 45' 8.0""""  ","12° 30' 7.17"""" "
6084009845,5601,railway_station,Belagula,"076° 35' 19.85""""  ","12° 23' 10.04"""" "
6084067653,5601,railway_station,Dornahalli,"076° 25' 29.62""""  ","12° 25' 58.99"""" "
6084101469,5601,railway_station,Hampapura,"076° 23' 49.07""""  ","12° 29' 4.2"""" "
6084108788,5601,railway_station,Hosa Agrahara,"076° 21' 42.14""""  ","12° 34' 12.44"""" "
6084177172,5601,railway_station,Akkihebbalu,"076° 22' 41.79""""  ","12° 37' 31.61"""" "
6084408423,5601,railway_station,Mavinakere,"076° 10' 25.27""""  ","12° 50' 41.1"""" "
6084937213,5601,railway_station,Koravangala,"076° 09' 36.22""""  ","13° 03' 12.16"""" "
6086235557,5601,railway_station,Balupete,"075° 52' 59.98""""  ","12° 57' 29.03"""" "
6086984618,5601,railway_station,Harebetta,"075° 37' 19.78""""  ","12° 49' 23.65"""" "
